,Player,Season,AGE,GP,PTS,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct,GS,W,L,TplusOTL,GA,SA,SV,SV_Pct,GAA,SUT,GPS,MIN,QS,RBS,LENGTH,AAV
862,Connor Hellebuyck,2017,24.0,56.0,0.0,16.0,4.0,12.0,75.0,53.0,26.0,19.0,4.0,146.0,1572.0,1426.0,0.907,2.89,4.0,8.1,3034.0,25.0,9.0,1,2250000.0
899,Reto Berra,2017,30.0,19.0,0.0,4.0,1.0,3.0,75.0,12.0,5.0,4.0,1.0,33.0,403.0,370.0,0.918,2.65,1.0,2.6,746.0,5.0,2.0,1,700000.0
909,Carey Price,2017,29.0,64.66666666666667,1.0,18.33333333333333,3.6666666666666665,14.666666666666666,78.76666666666667,64.66666666666667,41.66666666666666,17.333333333333332,5.666666666666667,132.66666666666666,1900.0,1767.3333333333333,0.9296666666666668,2.0500000000000003,7.0,15.0,3887.3333333333335,38.66666666666666,6.666666666666667,8,10500000.0
913,Martin Jones,2017,28.0,31.666666666666668,0.6666666666666666,7.0,1.3333333333333333,5.666666666666667,81.46666666666665,29.0,14.333333333333334,11.0,3.333333333333333,70.0,779.6666666666666,709.6666666666666,0.908,2.293333333333333,2.6666666666666665,4.3,1783.3333333333333,16.333333333333332,4.0,6,5750000.0
914,Darcy Kuemper,2017,27.0,31.0,0.0,5.0,3.0,2.0,40.0,28.0,14.0,12.0,2.0,68.0,718.0,650.0,0.905,2.6,3.0,3.5,1569.0,15.0,7.0,1,650000.0
923,Steve Mason,2017,29.0,53.333333333333336,2.333333333333333,36.66666666666666,12.666666666666666,24.0,65.60000000000001,50.0,20.666666666666668,19.0,10.0,119.66666666666669,1512.0,1392.3333333333333,0.9213333333333334,2.3866666666666667,3.0,10.266666666666667,2998.333333333333,28.0,6.333333333333333,2,4100000.0
930,Ryan Miller,2017,36.0,50.0,0.6666666666666666,13.0,3.0,10.0,83.60000000000001,50.0,21.33333333333333,22.666666666666668,5.333333333333333,131.33333333333334,1523.0,1391.6666666666667,0.9136666666666668,2.6766666666666663,3.333333333333333,8.933333333333334,2932.333333333333,24.33333333333333,5.666666666666667,2,2000000.0
936,Antti Niemi,2017,33.0,61.0,3.0,35.0,8.0,27.0,77.1,61.0,31.0,23.0,7.0,155.0,1811.0,1656.0,0.914,2.59,5.0,10.8,3588.0,32.0,9.0,1,700000.0
941,Chad Johnson,2017,31.0,24.666666666666668,0.0,8.666666666666666,2.0,6.666666666666667,76.66666666666667,23.33333333333333,11.333333333333334,10.333333333333334,1.0,65.0,648.3333333333334,583.3333333333334,0.896,2.9166666666666665,1.0,2.733333333333333,1373.0,10.666666666666666,6.333333333333333,1,2500000.0
953,Jonathan Bernier,2017,28.0,51.66666666666666,0.6666666666666666,28.33333333333333,11.0,17.333333333333332,60.70000000000001,47.66666666666666,21.0,21.0,6.0,129.0,1484.0,1355.0,0.913,2.7466666666666666,2.0,8.666666666666666,2782.333333333333,23.666666666666668,8.666666666666666,1,2750000.0
962,Brian Elliott,2017,32.0,47.0,2.0,21.33333333333333,5.333333333333333,16.0,76.5,45.0,26.0,15.333333333333334,3.0,104.33333333333331,1212.6666666666667,1108.3333333333333,0.9146666666666668,2.3566666666666665,4.0,7.233333333333333,2645.333333333333,26.666666666666668,6.666666666666667,2,2750000.0
963,Ondrej Pavelec,2017,29.0,50.0,0.0,31.0,12.0,19.0,61.3,46.0,22.0,16.0,8.0,108.0,1353.0,1245.0,0.92,2.28,5.0,9.0,2838.0,23.0,5.0,1,1300000.0
967,Anders Nilsson,2017,27.0,26.0,0.0,18.0,6.0,12.0,66.7,23.0,10.0,10.0,4.0,66.0,857.0,791.0,0.923,2.67,1.0,6.0,1484.0,11.0,2.0,2,2500000.0
974,Curtis McElhinney,2017,34.0,28.33333333333333,0.0,8.333333333333334,3.0,5.333333333333333,66.66666666666667,23.666666666666668,10.666666666666666,12.0,2.0,71.66666666666667,838.0,766.3333333333334,0.915,2.8200000000000003,0.3333333333333333,5.033333333333333,1518.3333333333333,11.0,1.3333333333333333,2,850000.0
979,Keith Kinkaid,2017,27.0,21.33333333333333,0.3333333333333333,9.666666666666666,3.0,6.666666666666667,71.13333333333334,16.333333333333332,6.666666666666667,7.666666666666667,3.6666666666666665,48.333333333333336,572.0,523.6666666666666,0.9153333333333332,2.606666666666667,0.3333333333333333,3.5,1108.6666666666667,9.333333333333334,1.3333333333333333,2,1250000.0
