Season,Player,Age_x,Tm,Pos_x,GP_x,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
2012,Frank Corrado,19,VAN,D,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,4,0,58,19:24:00,5,8,0,0,,43,54,44.3,-14.9,34,42,44.7,-15.5,0,97.1,97.1,55.6,44.4,19:24:00,17:13:00,1,3,13,30.8,0,0,0,0.0
2012,Joe Corvo,35,CAR,D,40,6,11,17,-3,14,2.7,3,3,0,2,6,5,0,71,8.5,750,18:46:00,38,27,0,0,,673,643,51.1,-0.9,496,483,50.7,-0.9,8.3,90.9,99.2,54.4,45.6,18:46:00,15:41:00,15,20,148,48,0,0,0,0.0
2012,Logan Couture,23,SJS,C,48,21,16,37,7,4,5.7,14,7,0,5,10,5,1,151,13.9,869,18:06:00,51,32,252,237,51.5,705,627,52.9,2.6,518,429,54.7,3.6,7.7,92.9,100.6,49.9,50.1,18:06:00,14:05:00,31,22,263,57.4,6,4,2,66.7
2012,Sean Couturier,20,PHI,C,46,4,11,15,-8,10,0.6,4,0,0,0,7,4,0,75,5.3,731,15:53:00,27,31,243,310,43.9,471,495,48.8,1,366,355,50.8,2.5,7.2,89,96.2,32.8,67.2,15:53:00,11:51:00,26,19,122,61.5,0,0,0,0.0
2012,Jared Cowen,22,OTT,D,7,1,0,1,1,10,0.5,1,0,0,0,0,0,0,8,12.5,142,20:17:00,10,26,0,0,,119,88,57.5,-2.6,83,60,58,-2.6,4.9,95.7,100.6,61.3,38.7,20:17:00,16:55:00,4,4,21,38.1,0,0,0,0.0
2012,Charlie Coyle,20,MIN,C,37,8,6,14,3,28,1.7,7,1,0,2,6,0,0,50,16,557,15:04:00,9,50,9,17,34.6,462,367,55.7,4.8,346,271,56.1,4.9,7.3,91.3,98.6,64.7,35.3,15:04:00,13:28:00,14,9,88,56.8,0,0,0,0.0
2012,Joey Crabb,29,WSH,RW,26,2,0,2,-1,8,-0.1,2,0,0,0,0,0,0,20,10,245,09:25:00,17,24,7,27,20.6,157,198,44.2,-6.7,112,142,44.1,-6.2,4.8,95.2,100,44.4,55.6,09:25:00,08:20:00,6,4,32,62.5,0,0,0,0.0
2012,Adam Cracknell,27,STL,RW,20,2,4,6,3,4,0.8,2,0,0,0,4,0,0,21,9.5,172,08:37:00,7,22,6,19,24,158,128,55.2,6,119,93,56.1,6.8,7.1,95.2,102.3,46.8,53.2,08:37:00,08:36:00,6,1,39,53.8,0,0,0,0.0
2012,B.J. Crombeen,27,TBL,RW,44,1,7,8,4,112,0.2,1,0,0,0,7,0,0,50,2,488,11:05:00,15,44,4,16,20,308,364,45.8,-1.9,250,268,48.3,0.9,6.3,96.3,102.5,30.1,69.9,11:05:00,09:20:00,11,7,84,59.5,0,0,0,0.0
2012,Sidney Crosby,25,PIT,C,36,15,41,56,26,16,7.5,12,3,0,1,27,14,0,124,12.1,760,21:06:00,18,21,453,381,54.3,676,524,56.3,8.3,507,388,56.6,7.4,13.7,92.8,106.4,47.3,52.7,21:06:00,16:03:00,15,28,203,61.1,2,2,0,100.0
