,Player,Season,Age,Tm,Pos,GP,G,A,PTS,PlusMinus,PIM,PS,EV_A,PP_A,SH_A,GW,EV_A,PP_A,SH_A,S,S_Pct,TOI,ATOI,BLK,HIT,FOW,FOL,FO_Pct,CF,CA,CF_Pct,CF_Pct_rel,FF,FA,FF_Pct,FF_Pct_rel,oiSH_Pct,oiSV_Pct,PDO,oZS_Pct,dZS_Pct,TOI/60,TOI(EV),TK,GV,SAtt.,Thru_Pct,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
52,Sam Bennett,2019,23,CGY,C,52,8,4,12,-1,36,1.0,8,0,0,0,3,1,0,82,9.8,651,12:31:00,13,101,89,83,51.7,571,569,50.1,-1.1,417,432,49.1,-1.3,6.2,94.3,100.5,47.9,52.1,12:31:00,11:21:00,19,22,150,54.7,0.0,0.0,0.0,0.0
53,Matt Benning,2019,25,EDM,D,43,1,7,8,8,15,2.1,1,0,0,0,7,0,0,38,2.6,569,13:14:00,34,78,0,0,0.0,430,465,48.0,0.2,325,334,49.3,1.2,10.0,93.2,103.3,47.4,52.6,13:14:00,12:21:00,12,19,81,46.9,0.0,0.0,0.0,0.0
54,Tyler Benson,2019,21,EDM,LW,7,0,1,1,-1,0,0.0,0,0,0,0,1,0,0,5,0.0,73,10:23:00,1,3,1,0,100.0,60,66,47.6,-1.6,43,45,48.9,0.3,12.1,85.7,97.8,42.2,57.8,10:23:00,09:53:00,2,3,13,38.5,0.0,0.0,0.0,0.0
55,Patrice Bergeron,2019,34,BOS,C,61,31,25,56,23,28,7.9,19,11,1,5,16,9,0,203,15.3,1143,18:44:00,46,46,758,553,57.8,874,686,56.0,6.8,650,521,55.5,5.8,12.5,90.7,103.2,60.3,39.7,18:44:00,13:17:00,44,22,326,62.3,1.0,0.0,1.0,0.0
56,Lean Bergmann,2019,21,SJS,F,12,0,1,1,-6,4,-0.3,0,0,0,0,1,0,0,11,0.0,99,08:16:00,5,29,0,2,0.0,66,114,36.7,-16.3,48,87,35.6,-16.2,3.0,88.5,91.6,62.7,37.3,08:16:00,07:39:00,3,0,17,64.7,0.0,0.0,0.0,0.0
57,Tyler Bertuzzi,2019,24,DET,LW,71,21,27,48,-23,40,4.3,18,3,0,1,16,11,0,129,16.3,1371,19:19:00,30,71,4,2,66.7,1054,1075,49.5,5.1,802,836,49.0,4.4,8.7,89.6,98.3,51.6,48.4,19:19:00,15:51:00,25,57,222,58.1,2.0,0.0,2.0,0.0
58,Alex Biega,2019,31,DET,D,49,0,3,3,-9,24,0.9,0,0,0,0,3,0,0,55,0.0,805,16:25:00,46,115,0,0,0.0,561,683,45.1,-0.7,436,534,44.9,-0.1,5.3,93.3,98.6,47.5,52.5,16:25:00,14:25:00,4,30,123,44.7,0.0,0.0,0.0,0.0
59,Jake Bischoff,2019,25,VEG,D,4,0,0,0,-2,4,-0.1,0,0,0,0,0,0,0,6,0.0,62,15:36:00,8,8,0,0,0.0,49,59,45.4,0.5,39,40,49.4,4.5,10.0,84.4,94.4,47.8,52.2,15:36:00,14:53:00,0,2,10,60.0,0.0,0.0,0.0,0.0
60,Clark Bishop,2019,23,CAR,C,5,0,1,1,-2,4,0.0,0,0,0,0,1,0,0,4,0.0,38,07:39:00,0,5,13,21,38.2,27,25,51.9,0.3,21,17,55.3,3.8,7.7,76.5,84.2,62.5,37.5,07:39:00,07:23:00,1,1,6,66.7,0.0,0.0,0.0,0.0
61,Anthony Bitetto,2019,29,WPG,D,51,0,8,8,3,32,1.7,0,0,0,0,7,0,1,54,0.0,773,15:10:00,50,145,0,0,0.0,563,633,47.1,-3.2,427,473,47.4,-1.4,10.2,92.2,102.4,54.3,45.7,15:10:00,12:54:00,16,22,105,51.4,0.0,0.0,0.0,0.0
