Season,Player,Age_x,Tm_x,Pos_x,GP_x,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Age_y,Tm_y,Pos_y,GP_y,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
2010,Nik Antropov,30,ATL,C,76,16,25,41,-17,42,3.5,11,5,0,2,14,11,0,105,15.2,1189,15:39:00,38,61,260,273,48.8,30,ATL,C,76,840,942,47.1,-5.7,636,690,48,-6.4,7.6,91.1,98.7,49.6,50.4,15:28:00,12:55:00,35,31,182,57.7,4,1,3,25.0
2010,Colby Armstrong,28,TOR,RW,50,8,15,23,-1,38,1.9,8,0,0,0,15,0,0,69,11.6,806,16:07:00,28,88,3,5,37.5,28,TOR,RW,50,619,653,48.7,-1.2,430,484,47,-2.5,10.2,90.7,100.9,46.4,53.6,16:07:00,13:40:00,34,19,124,55.6,2,2,0,100.0
2010,Jamie Arniel,21,BOS,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,3,0,12,12:26:00,0,0,0,0,,21,BOS,C,1,16,11,59.3,,14,9,60.9,,0,80,80,55.6,44.4,12:26:00,11:55:00,0,0,3,100,0,0,0,0.0
2010,Jason Arnott,36,TOT,C,73,17,14,31,-6,40,3.6,13,4,0,1,10,4,0,169,10.1,1133,15:31:00,11,42,449,445,50.2,36,TOT,C,73,895,757,54.2,2.5,672,584,53.5,1.4,6.6,91.4,97.9,54.6,45.4,15:31:00,13:11:00,30,21,288,58.7,2,1,1,50.0
2010,Jason Arnott,36,NJD,C,62,13,11,24,-9,32,2.5,11,2,0,0,8,3,0,139,9.4,958,15:27:00,8,28,385,365,51.3,36,TOT,C,73,895,757,54.2,2.5,672,584,53.5,1.4,6.6,91.4,97.9,54.6,45.4,15:31:00,13:11:00,30,21,288,58.7,2,1,1,50.0
2010,Jason Arnott,36,WSH,C,11,4,3,7,3,8,1.1,2,2,0,1,2,1,0,30,13.3,175,15:53:00,3,14,64,80,44.4,36,TOT,C,73,895,757,54.2,2.5,672,584,53.5,1.4,6.6,91.4,97.9,54.6,45.4,15:31:00,13:11:00,30,21,288,58.7,2,1,1,50.0
2010,Arron Asham,32,PIT,RW,44,5,6,11,0,46,1,5,0,0,0,6,0,0,60,8.3,420,09:33:00,16,107,3,6,33.3,32,PIT,RW,44,337,368,47.8,-6.8,260,269,49.1,-5.7,7.5,92.1,99.5,58.1,41.9,09:33:00,09:32:00,7,8,81,74.1,0,0,0,0.0
2010,Adrian Aucoin,37,PHX,D,75,3,19,22,18,52,5.2,3,0,0,0,17,2,0,99,3,1625,21:40:00,75,134,1,0,100,37,PHX,D,75,1258,1250,50.2,-1,939,986,48.8,-1.3,9.9,92.5,102.4,45.5,54.5,21:40:00,17:49:00,26,22,233,42.5,0,0,0,0.0
2010,Keith Aucoin,32,WSH,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,11:47:00,0,1,1,2,33.3,32,WSH,C,1,11,9,55,5,8,6,57.1,7.1,0,100,100,,,11:47:00,05:53:00,0,0,0,,0,0,0,0.0
2010,Keith Aulie,21,TOR,D,40,2,0,2,-1,32,1.1,2,0,0,0,0,0,0,32,6.3,765,19:08:00,74,98,0,0,,21,TOR,D,40,550,776,41.5,-7.2,403,568,41.5,-7.6,8.5,93.8,102.3,43.4,56.6,19:08:00,16:50:00,5,46,76,42.1,0,0,0,0.0
