Season,Player,Age_x,Tm,Pos_x,GP_x,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
2015,Sven Baertschi,23,VAN,LW,69,15,13,28,-14,14,2.8,13,2,0,1,8,5,0,108,13.9,929,13:27:00,36,30,0,1,0,686,792,46.4,-1.1,504,609,45.3,-1.7,7.5,91,98.6,49.4,50.6,13:27:00,11:43:00,26,22,-7.2,188,57.4,4,0,4,0.0
2015,Josh Bailey,26,NYI,RW,81,12,20,32,-7,22,2.5,8,4,0,2,19,1,0,105,11.4,1284,15:51:00,25,45,14,20,41.2,1037,1083,48.9,-0.3,740,820,47.4,-2.5,8.9,91.5,100.4,50.5,49.5,15:51:00,13:53:00,41,49,-2.8,190,55.3,2,1,1,50.0
2015,Justin Bailey,20,BUF,RW,8,0,0,0,-2,2,-0.2,0,0,0,0,0,0,0,22,0,93,11:36:00,6,8,0,0,,82,92,47.1,-1.2,70,61,53.4,6.1,3.6,88.2,91.9,52.9,47.1,11:36:00,11:20:00,4,3,2.3,28,78.6,0,0,0,0.0
2015,Mark Barberio,25,MTL,D,30,2,8,10,0,6,1.7,2,0,0,0,8,0,0,32,6.3,450,15:00:00,18,12,0,0,,401,353,53.2,2.8,289,251,53.5,4.1,9,89.8,98.8,51.6,48.4,0.625,13:50:00,11,19,3.3,88,36.4,0,0,0,0.0
2015,Aleksander Barkov,20,FLA,C,66,28,31,59,18,8,8.4,18,9,1,8,23,7,1,171,16.4,1282,19:26:00,39,43,569,587,49.2,822,875,48.4,-0.9,659,677,49.3,0,11.8,91.6,103.4,46.2,53.8,19:26:00,14:47:00,45,29,0.6,255,67.1,6,5,1,83.3
2015,Tyson Barrie,24,COL,D,78,13,36,49,-16,31,7.2,9,3,1,5,17,18,1,172,7.6,1810,23:12:00,84,37,0,0,,1342,1586,45.8,2,993,1204,45.2,-1.1,9.1,91,100.1,49,51,23:12:00,19:34:00,29,59,-16.6,353,48.7,0,0,0,0.0
2015,Matt Bartkowski,27,VAN,D,80,6,12,18,-19,50,2.9,6,0,0,0,12,0,0,85,7.1,1490,18:37:00,42,141,0,0,,1141,1367,45.5,-2.5,836,1108,43,-5.2,7.5,91.8,99.3,54.2,45.8,18:37:00,17:07:00,18,49,-24.9,198,42.9,0,0,0,0.0
2015,Victor Bartley,27,TOT,D,10,0,0,0,2,6,0.3,0,0,0,0,0,0,0,8,0,133,13:19:00,17,21,0,0,,122,143,46,-3.9,82,97,45.8,-3.9,9.7,94.8,104.5,45.9,54.1,13:19:00,13:10:00,0,7,0.2,16,50,0,0,0,0.0
2015,Victor Bartley,27,MTL,D,9,0,0,0,3,6,0.4,0,0,0,0,0,0,0,8,0,120,13:20:00,12,19,0,0,,122,143,46,-3.9,82,97,45.8,-3.9,9.7,94.8,104.5,45.9,54.1,13:19:00,13:10:00,0,7,0.2,16,50,0,0,0,0.0
2015,Victor Bartley,27,NSH,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,13,13:15:00,5,2,0,0,,122,143,46,-3.9,82,97,45.8,-3.9,9.7,94.8,104.5,45.9,54.1,13:19:00,13:10:00,0,7,0.2,16,50,0,0,0,0.0
