Player,AGE,POS,TEAM,DATE,TYPE,STRUCTURE,LENGTH,VALUE,CAP HIT
Scottie Upshall,33,LW,STL,2017-10-01,Standard,1-way,1,800000,800000
Jimmy Hayes,27,RW,NJD,2017-10-01,Standard,1-way,1,700000,700000
David Booth,32,LW,DET,2017-10-02,Standard,2-way,1,700000,700000
Josh Anderson,23,RW,CBJ,2017-10-02,Standard,1-way,3,5550000,1850000
Jaromír Jágr,45,RW,CGY,2017-10-03,35+,1-way,1,2000000,1000000
Harry Zolnierczyk,29,LW,NSH,2017-10-03,Standard,2-way,1,650000,650000
Tanner Glass,33,LW,CGY,2017-10-03,Standard,1-way,1,650000,650000
Alex Chiasson,26,RW,WSH,2017-10-04,Standard,1-way,1,660000,660000
Cody Franson,29,RD,CHI,2017-10-04,Standard,1-way,1,1000000,1000000
Daniel Winnik,32,C,MIN,2017-10-04,Standard,1-way,1,660000,660000
Brandon Pirri,26,"RW, LW",VGK,2017-10-04,Standard,2-way,1,650000,650000
Brooks Laich,34,"C, LW",LAK,2017-10-19,Standard,2-way,1,650000,650000
Roman Polák,31,RD,TOR,2017-10-23,Standard,1-way,1,1100000,1100000
Andreas Athanasiou,22,"C, LW, RW",DET,2017-10-23,Standard,1-way,1,1387500,1387500
Marek Mazanec,25,G,NYR,2017-12-05,Standard,2-way,1,650000,650000
Miles Wood,22,LW,NJD,2018-09-22,Standard,1-way,4,11000000,2750000
Luca Sbisa,28,LD,NYI,2018-09-24,Standard,1-way,1,1500000,1500000
Shea Theodore,22,LD/RD,VGK,2018-09-25,Standard,1-way,7,36400000,5200000
Ryan Haggerty,25,RW,PIT,2018-09-25,Standard,2-way,2,1350000,675000
Mark Letestu,33,"C, RW",CBJ,2018-09-27,Standard,2-way,1,750000,750000
Brandon Davidson,26,LD,CHI,2018-09-27,Standard,1-way,1,650000,650000
Michal Cajkovsky,26,D,CAR,2018-09-27,Standard,2-way,1,650000,650000
Alex Chiasson,27,RW,EDM,2018-10-02,Standard,1-way,1,650000,650000
Jason Garrison,33,LD,EDM,2018-10-02,Standard,1-way,1,650000,650000
Drew Stafford,32,"RW, LW",NJD,2018-10-05,Standard,1-way,1,810000,810000
Stephen Gionta,34,"C, RW",NYI,2018-10-13,Standard,2-way,1,650000,650000
Jake Dotchin,24,RD,ANA,2018-10-17,Standard,1-way,1,800000,800000
Nick Ritchie,22,LW,ANA,2018-10-18,Standard,1-way,3,4600000,1640000
Colton Beck,28,LW,MIN,2018-11-01,Standard,2-way,2,1350000,675000
Matt Donovan,28,LD,NSH,2018-11-04,Standard,2-way,2,1350000,675000
Logan Shaw,25,"C, RW",WPG,2018-11-11,Standard,2-way,1,675000,675000
Justin Falk,29,LD,OTT,2018-11-30,Standard,2-way,1,650000,650000
William Nylander,22,"RW, LW",TOR,2018-12-01,Standard,1-way,6,45000000,6962366
Ben Hutton,26,LD,LAK,2019-09-18,Standard,1-way,1,1500000,1500000
Anthony Deangelo,23,RD,NYR,2019-09-20,Standard,1-way,1,925000,925000
Brayden Point,23,"C, RW",TBL,2019-09-23,Standard,1-way,3,20250000,6750000
Matthew Tkachuk,21,"LW, RW",CGY,2019-09-25,Standard,1-way,3,21000000,7000000
Alex Petrovic,27,RD,BOS,2019-09-26,Standard,2-way,1,700000,700000
Patrik Laine,21,"LW, RW",WPG,2019-09-27,Standard,1-way,2,13500000,6750000
Scott Sabourin,26,RW,OTT,2019-09-27,Standard,2-way,1,700000,700000
Mikko Rantanen,22,RW,COL,2019-09-28,Standard,1-way,6,55500000,9250000
Kyle Connor,22,LW,WPG,2019-09-28,Standard,1-way,7,50000000,7142857
Zac Rinaldo,29,LW,CGY,2019-09-29,Standard,2-way,1,700000,700000
Tobias Rieder,26,"RW, LW",CGY,2019-09-29,Standard,2-way,1,700000,700000
Micheal Haley,33,C,NYR,2019-10-01,Standard,2-way,1,700000,700000
Joe Morrow,26,RD,NJD,2019-10-06,Standard,2-way,1,700000,700000
Patrick Marleau,39,"LW, C",SJS,2019-10-09,35+,2-way,1,700000,700000
Chris Stewart,31,"RW, LW",PHI,2019-10-15,Standard,1-way,1,750000,753757
Brian Boyle,34,"LW, C",FLA,2019-10-20,Standard,1-way,1,940000,940000
Luca Sbisa,29,LD,ANA,2019-10-23,Standard,1-way,1,750000,750000
Troy Brouwer,33,"LW, RW",STL,2019-11-21,Standard,2-way,1,750000,750000
Stefan Noesen,26,"RW, LW",PIT,2019-12-03,Standard,2-way,1,700000,700000
Dalton Smith,27,LW,BUF,2019-12-30,Standard,2-way,1,700000,700000
Jake Walman,24,LD,STL,2020-11-19,Standard,2-way,2,1450000,725000
Jake DeBrusk,23,LW,BOS,2020-11-23,Standard,1-way,2,7350000,3675000
Juho Lammikko,24,"C, LW, RW",FLA,2020-11-24,Standard,2-way,1,725000,725000
Mikhail Sergachev,22,LD/RD,TBL,2020-11-25,Standard,1-way,3,14400000,4800000
Philippe Myers,23,RD,PHI,2020-12-08,Standard,1-way,3,7650000,2550000
Jalen Chatfield,24,RD,VAN,2020-12-09,Standard,2-way,1,700000,700000
Tyler Graovac,27,C,VAN,2020-12-13,Standard,2-way,1,700000,700000
Andrew Hammond,32,G,MIN,2020-12-16,Standard,2-way,1,700000,700000
Anthony Duclair,24,"LW, RW",FLA,2020-12-17,Standard,1-way,1,1700000,1700000
Justin Bailey,24,RW,VAN,2020-12-17,Standard,2-way,1,750000,750000
Oliver Kylington,23,LD,CGY,2020-12-18,Standard,2-way,1,787500,787500
Roland McKeown,24,RD,CAR,2020-12-18,Standard,2-way,1,700000,700000
Drake Caggiula,26,"LW, RW",ARI,2020-12-21,Standard,1-way,1,700000,700000
Samuel Montembeault,23,G,FLA,2020-12-22,Standard,2-way,1,700000,700000
Jan Rutta,29,RD,TBL,2020-12-22,Standard,1-way,2,2600000,1300000
Erik Cernak,23,RD,TBL,2020-12-22,Standard,1-way,3,8850000,2950000
Conor Sheary,28,"LW, RW",WSH,2020-12-22,Standard,1-way,1,735000,735000
Casey Mittelstadt,21,C,BUF,2020-12-23,Standard,2-way,1,874125,874125
Ryan Miller,39,G,ANA,2020-12-23,35+,1-way,1,1000000,1000000
Alexander Volkov,22,"LW, RW",TBL,2020-12-23,Standard,1-way,1,700000,700000
Mathieu Joseph,23,"C, LW, RW",TBL,2020-12-23,Standard,1-way,2,1475000,737500
Michael Frolík,32,"LW, RW",MTL,2020-12-23,Standard,1-way,1,750000,750000
Mikael Granlund,28,"C, RW",NSH,2020-12-23,Standard,1-way,1,3750000,3750000
Erik Haula,29,"C, LW",NSH,2020-12-23,Standard,1-way,1,1750000,1750000
Mackenzie Blackwood,23,G,NJD,2020-12-23,Standard,1-way,3,8400000,2800000
Anthony Cirelli,22,C,TBL,2020-12-24,Standard,1-way,3,14400000,4800000
Slater Koekkoek,26,LD/RD,EDM,2020-12-26,Standard,1-way,1,850000,850000
Carl Söderberg,34,"C, LW",CHI,2020-12-26,Standard,1-way,1,1000000,1000000
Corey Perry,35,RW,MTL,2020-12-28,35+,1-way,1,750000,750000
Andreas Athanasiou,25,"C, LW, RW",LAK,2020-12-28,Standard,1-way,1,1200000,1200000
Ethan Bear,23,RD,EDM,2020-12-29,Standard,1-way,2,4000000,2000000
Zdeno Chara,43,LD,WSH,2020-12-30,35+,1-way,1,1525000,795000
Derick Brassard,32,"LW, C",ARI,2020-12-30,Standard,1-way,1,1000000,1000000
Vince Dunn,23,LD/RD,STL,2020-12-31,Standard,1-way,1,1875000,1875000
Pierre-Luc Dubois,22,C,CBJ,2020-12-31,Standard,1-way,2,10000000,5000000
Cavan Fitzgerald,24,LD,CAR,2021-05-11,Standard,2-way,2,1500000,750000
Henrik Borgström,23,C,CHI,2021-05-12,Standard,1-way,2,2000000,1000000
Erik Källgren,24,G,TOR,2021-05-19,Standard,2-way,2,1500000,750000
Clark Bishop,25,C,OTT,2021-05-20,Standard,2-way,1,800000,800000
Jeff Malott,24,LW,WPG,2021-05-31,Standard,2-way,1,780000,780000
